epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,367.736,0.83711,0.41065,0.90781,0.75817,0.70458,0.76165,0.41257,1.68827,1.06765,1.29724,0.000280723,0.000280723,0.000280723
170,369.419,0.8068,0.39785,0.89455,0.76015,0.71569,0.76727,0.41345,1.69355,1.05401,1.30135,0.000272471,0.000272471,0.000272471
171,371.084,0.80466,0.39847,0.90306,0.77022,0.71147,0.77041,0.41508,1.69313,1.03301,1.30248,0.00026422,0.00026422,0.00026422
172,372.755,0.81961,0.40327,0.89807,0.78134,0.70851,0.77623,0.41848,1.68943,1.02201,1.29949,0.000255968,0.000255968,0.000255968
173,374.431,0.77357,0.38878,0.90351,0.76644,0.71735,0.77967,0.42079,1.67874,1.0194,1.29175,0.000247716,0.000247716,0.000247716
174,376.072,0.75517,0.38845,0.91923,0.76364,0.72385,0.78059,0.41912,1.67049,1.017,1.28874,0.000239465,0.000239465,0.000239465
175,377.711,0.78968,0.39624,0.90782,0.76939,0.71512,0.78284,0.42069,1.66963,1.0143,1.28965,0.000231213,0.000231213,0.000231213
176,379.339,0.77754,0.39871,0.91283,0.77661,0.71007,0.7835,0.42324,1.66923,1.00985,1.2927,0.000222961,0.000222961,0.000222961
177,381.018,0.78475,0.38504,0.90904,0.77255,0.71398,0.78491,0.42422,1.67576,1.00824,1.29976,0.00021471,0.00021471,0.00021471
178,382.783,0.81617,0.39863,0.90675,0.75055,0.73044,0.78347,0.4252,1.68015,1.00854,1.30603,0.000206458,0.000206458,0.000206458
179,384.471,0.7712,0.38537,0.90981,0.75708,0.73008,0.78598,0.42637,1.6805,1.01876,1.30819,0.000198206,0.000198206,0.000198206
180,386.126,0.77969,0.38757,0.91364,0.77526,0.70484,0.78294,0.42647,1.67328,1.02519,1.30297,0.000189955,0.000189955,0.000189955
